layout,layoutCount,algorithm,iteration,foodCount,cost,expandedNodes,score,result
tiny,2,astar,0,11,36,49,574,Win
tiny,2,bds,0,2,13,28,507,Win
tiny,2,bds,0,3,7,12,523,Win
tiny,2,bds,0,4,18,31,522,Win
tiny,2,bds,0,5,30,47,520,Win
tiny,2,bds,0,6,20,32,540,Win
tiny,2,bds,0,7,25,41,545,Win
tiny,2,bds,0,8,19,34,561,Win
tiny,2,bds,0,9,21,39,569,Win
tiny,2,bds,0,10,21,37,579,Win
tiny,2,bds,0,11,36,52,574,Win
tiny,3,dfs,0,2,20,26,501,Win
tiny,3,dfs,0,3,15,23,515,Win
tiny,3,dfs,0,4,13,59,527,Win
tiny,3,dfs,0,5,28,49,522,Win
tiny,3,dfs,0,6,24,89,536,Win
tiny,3,dfs,0,7,37,139,533,Win
tiny,3,dfs,0,8,35,127,545,Win
tiny,3,dfs,0,9,38,102,560,Win
tiny,3,dfs,0,10,36,206,564,Win
tiny,3,dfs,0,11,30,220,580,Win
tiny,3,bfs,0,2,16,25,505,Win
tiny,3,bfs,0,3,15,40,515,Win
tiny,3,bfs,0,4,9,19,531,Win
tiny,3,bfs,0,5,26,61,524,Win
tiny,3,bfs,0,6,22,41,538,Win
tiny,3,bfs,0,7,31,55,539,Win
tiny,3,bfs,0,8,33,70,547,Win
tiny,3,bfs,0,9,30,57,560,Win
tiny,3,bfs,0,10,34,63,566,Win
tiny,3,bfs,0,11,30,58,580,Win
tiny,3,ucs,0,2,16,25,505,Win
tiny,3,ucs,0,3,15,40,515,Win
tiny,3,ucs,0,4,9,19,531,Win
tiny,3,ucs,0,5,26,61,524,Win
tiny,3,ucs,0,6,22,41,538,Win
tiny,3,ucs,0,7,31,55,539,Win
tiny,3,ucs,0,8,33,70,547,Win
tiny,3,ucs,0,9,30,57,560,Win
tiny,3,ucs,0,10,34,63,566,Win
tiny,3,ucs,0,11,30,58,580,Win
tiny,3,astar,0,2,16,20,505,Win
tiny,3,astar,0,3,15,17,515,Win
tiny,3,astar,0,4,9,9,531,Win
tiny,3,astar,0,5,26,40,524,Win
tiny,3,astar,0,6,22,28,538,Win
tiny,3,astar,0,7,31,40,539,Win
tiny,3,astar,0,8,33,52,547,Win
tiny,3,astar,0,9,30,45,560,Win
tiny,3,astar,0,10,34,42,566,Win
tiny,3,astar,0,11,30,45,580,Win
tiny,3,bds,0,2,16,21,505,Win
tiny,3,bds,0,3,15,28,515,Win
tiny,3,bds,0,4,9,12,531,Win
tiny,3,bds,0,5,26,41,524,Win
tiny,3,bds,0,6,22,36,538,Win
tiny,3,bds,0,7,31,43,539,Win
tiny,3,bds,0,8,33,54,547,Win
tiny,3,bds,0,9,30,45,560,Win
tiny,3,bds,0,10,34,46,566,Win
tiny,3,bds,0,11,30,46,580,Win
tiny,4,dfs,0,2,6,12,514,Win
tiny,4,dfs,0,3,24,51,506,Win
tiny,4,dfs,0,4,15,50,525,Win
tiny,4,dfs,0,5,33,93,517,Win
tiny,4,dfs,0,6,25,60,535,Win
tiny,4,dfs,0,7,27,114,543,Win
tiny,4,dfs,0,8,44,102,536,Win
tiny,4,dfs,0,9,44,167,546,Win
tiny,4,dfs,0,10,32,146,568,Win
tiny,4,dfs,0,11,43,107,577,Win
tiny,4,bfs,0,2,4,9,516,Win
tiny,4,bfs,0,3,20,44,510,Win
tiny,4,bfs,0,4,15,40,525,Win
tiny,4,bfs,0,5,25,52,525,Win
tiny,4,bfs,0,6,23,60,537,Win
tiny,4,bfs,0,7,25,54,545,Win
tiny,4,bfs,0,8,30,79,550,Win
tiny,4,bfs,0,9,24,51,566,Win
tiny,4,bfs,0,10,30,70,570,Win
tiny,4,bfs,0,11,33,75,583,Win
tiny,4,ucs,0,2,4,9,516,Win
