layout,layoutCount,algorithm,iteration,cost,expandedNodes,score,result
tiny,2,astar,3,8,8,502,Win
tiny,2,astar,4,14,25,496,Win
tiny,2,astar,5,1,1,509,Win
tiny,2,astar,6,8,11,502,Win
tiny,2,astar,7,13,20,497,Win
tiny,2,astar,8,4,6,506,Win
tiny,2,astar,9,3,4,507,Win
tiny,2,bds,0,4,12,506,Win
tiny,2,bds,1,1,1,509,Win
tiny,2,bds,2,12,27,498,Win
tiny,2,bds,3,8,18,502,Win
tiny,2,bds,4,14,27,496,Win
tiny,2,bds,5,1,1,509,Win
tiny,2,bds,6,8,17,502,Win
tiny,2,bds,7,13,27,497,Win
tiny,2,bds,8,4,5,506,Win
tiny,2,bds,9,3,6,507,Win
tiny,3,dfs,0,9,26,501,Win
tiny,3,dfs,1,1,27,509,Win
tiny,3,dfs,2,5,12,505,Win
tiny,3,dfs,3,5,27,505,Win
tiny,3,dfs,4,6,25,504,Win
tiny,3,dfs,5,14,14,496,Win
tiny,3,dfs,6,8,9,502,Win
tiny,3,dfs,7,12,13,498,Win
tiny,3,dfs,8,3,30,507,Win
tiny,3,dfs,9,6,28,504,Win
tiny,3,bfs,0,7,14,503,Win
tiny,3,bfs,1,1,1,509,Win
tiny,3,bfs,2,5,16,505,Win
tiny,3,bfs,3,5,6,505,Win
tiny,3,bfs,4,6,12,504,Win
tiny,3,bfs,5,14,23,496,Win
tiny,3,bfs,6,8,26,502,Win
tiny,3,bfs,7,12,26,498,Win
tiny,3,bfs,8,3,4,507,Win
tiny,3,bfs,9,6,13,504,Win
tiny,3,ucs,0,7,14,503,Win
tiny,3,ucs,1,1,1,509,Win
tiny,3,ucs,2,5,16,505,Win
tiny,3,ucs,3,5,6,505,Win
tiny,3,ucs,4,6,12,504,Win
tiny,3,ucs,5,14,23,496,Win
tiny,3,ucs,6,8,26,502,Win
tiny,3,ucs,7,12,26,498,Win
tiny,3,ucs,8,3,4,507,Win
tiny,3,ucs,9,6,13,504,Win
tiny,3,astar,0,7,11,503,Win
tiny,3,astar,1,1,1,509,Win
tiny,3,astar,2,5,6,505,Win
tiny,3,astar,3,5,5,505,Win
tiny,3,astar,4,6,8,504,Win
tiny,3,astar,5,14,17,496,Win
tiny,3,astar,6,8,11,502,Win
tiny,3,astar,7,12,17,498,Win
tiny,3,astar,8,3,3,507,Win
tiny,3,astar,9,6,8,504,Win
tiny,3,bds,0,7,12,503,Win
tiny,3,bds,1,1,1,509,Win
tiny,3,bds,2,5,13,505,Win
tiny,3,bds,3,5,6,505,Win
tiny,3,bds,4,6,9,504,Win
tiny,3,bds,5,14,23,496,Win
tiny,3,bds,6,8,18,502,Win
tiny,3,bds,7,12,22,498,Win
tiny,3,bds,8,3,4,507,Win
tiny,3,bds,9,6,9,504,Win
tiny,4,dfs,0,5,30,505,Win
tiny,4,dfs,1,1,1,509,Win
tiny,4,dfs,2,6,9,504,Win
tiny,4,dfs,3,3,3,507,Win
tiny,4,dfs,4,8,8,502,Win
tiny,4,dfs,5,11,20,499,Win
tiny,4,dfs,6,3,23,507,Win
tiny,4,dfs,7,2,2,508,Win
tiny,4,dfs,8,13,19,497,Win
tiny,4,dfs,9,8,12,502,Win
tiny,4,bfs,0,3,7,507,Win
tiny,4,bfs,1,1,2,509,Win
tiny,4,bfs,2,6,14,504,Win
tiny,4,bfs,3,3,13,507,Win
tiny,4,bfs,4,6,16,504,Win
tiny,4,bfs,5,9,21,501,Win
tiny,4,bfs,6,1,2,509,Win
tiny,4,bfs,7,2,4,508,Win
tiny,4,bfs,8,7,22,503,Win
tiny,4,bfs,9,4,12,506,Win
tiny,4,ucs,0,3,7,507,Win
tiny,4,ucs,1,1,2,509,Win
tiny,4,ucs,2,6,14,504,Win
tiny,4,ucs,3,3,13,507,Win
