layout,layoutCount,algorithm,iteration,cost,expandedNodes,score,result
tiny,2,bfs,3,3,4,507,Win
tiny,2,bfs,4,16,28,494,Win
tiny,2,bfs,5,5,11,505,Win
tiny,2,bfs,6,6,7,504,Win
tiny,2,bfs,7,9,21,501,Win
tiny,2,bfs,8,10,25,500,Win
tiny,2,bfs,9,4,7,506,Win
tiny,2,ucs,0,6,22,504,Win
tiny,2,ucs,1,13,23,497,Win
tiny,2,ucs,2,5,13,505,Win
tiny,2,ucs,3,3,4,507,Win
tiny,2,ucs,4,16,28,494,Win
tiny,2,ucs,5,5,11,505,Win
tiny,2,ucs,6,6,7,504,Win
tiny,2,ucs,7,9,21,501,Win
tiny,2,ucs,8,10,25,500,Win
tiny,2,ucs,9,4,7,506,Win
tiny,2,astar,0,6,11,504,Win
tiny,2,astar,1,13,17,497,Win
tiny,2,astar,2,5,7,505,Win
tiny,2,astar,3,3,4,507,Win
tiny,2,astar,4,16,28,494,Win
tiny,2,astar,5,5,6,505,Win
tiny,2,astar,6,6,6,504,Win
tiny,2,astar,7,9,16,501,Win
tiny,2,astar,8,10,12,500,Win
tiny,2,astar,9,4,4,506,Win
tiny,2,bds,0,6,11,504,Win
tiny,2,bds,1,13,23,497,Win
tiny,2,bds,2,5,9,505,Win
tiny,2,bds,3,3,3,507,Win
tiny,2,bds,4,16,24,494,Win
tiny,2,bds,5,5,11,505,Win
tiny,2,bds,6,6,8,504,Win
tiny,2,bds,7,9,17,501,Win
tiny,2,bds,8,10,18,500,Win
tiny,2,bds,9,4,6,506,Win
tiny,2,hbds,0,6,9,504,Win
tiny,2,hbds,1,13,19,497,Win
tiny,2,hbds,2,5,7,505,Win
tiny,2,hbds,3,3,6,507,Win
tiny,2,hbds,4,16,22,494,Win
tiny,2,hbds,5,5,11,505,Win
tiny,2,hbds,6,6,6,504,Win
tiny,2,hbds,7,9,15,501,Win
tiny,2,hbds,8,10,12,500,Win
tiny,2,hbds,9,4,4,506,Win
tiny,3,dfs,0,2,2,508,Win
tiny,3,dfs,1,12,26,498,Win
tiny,3,dfs,2,8,14,502,Win
tiny,3,dfs,3,10,10,500,Win
tiny,3,dfs,4,16,16,494,Win
tiny,3,dfs,5,7,7,503,Win
tiny,3,dfs,6,3,3,507,Win
tiny,3,dfs,7,5,27,505,Win
tiny,3,dfs,8,13,15,497,Win
tiny,3,dfs,9,6,27,504,Win
tiny,3,bfs,0,2,6,508,Win
tiny,3,bfs,1,12,21,498,Win
tiny,3,bfs,2,8,15,502,Win
tiny,3,bfs,3,10,20,500,Win
tiny,3,bfs,4,16,29,494,Win
tiny,3,bfs,5,7,16,503,Win
tiny,3,bfs,6,3,6,507,Win
tiny,3,bfs,7,5,15,505,Win
tiny,3,bfs,8,13,24,497,Win
tiny,3,bfs,9,6,14,504,Win
tiny,3,ucs,0,2,6,508,Win
tiny,3,ucs,1,12,21,498,Win
tiny,3,ucs,2,8,15,502,Win
tiny,3,ucs,3,10,20,500,Win
tiny,3,ucs,4,16,29,494,Win
tiny,3,ucs,5,7,16,503,Win
tiny,3,ucs,6,3,6,507,Win
tiny,3,ucs,7,5,15,505,Win
tiny,3,ucs,8,13,24,497,Win
tiny,3,ucs,9,6,14,504,Win
tiny,3,astar,0,2,2,508,Win
tiny,3,astar,1,12,20,498,Win
tiny,3,astar,2,8,10,502,Win
tiny,3,astar,3,10,11,500,Win
tiny,3,astar,4,16,28,494,Win
tiny,3,astar,5,7,10,503,Win
tiny,3,astar,6,3,4,507,Win
tiny,3,astar,7,5,7,505,Win
tiny,3,astar,8,13,21,497,Win
tiny,3,astar,9,6,9,504,Win
tiny,3,bds,0,2,4,508,Win
tiny,3,bds,1,12,27,498,Win
tiny,3,bds,2,8,13,502,Win
tiny,3,bds,3,10,23,500,Win
tiny,3,bds,4,16,26,494,Win
tiny,3,bds,5,7,18,503,Win
tiny,3,bds,6,3,4,507,Win
tiny,3,bds,7,5,9,505,Win
tiny,3,bds,8,13,28,497,Win
tiny,3,bds,9,6,9,504,Win
tiny,3,hbds,0,2,2,508,Win
tiny,3,hbds,1,12,17,498,Win
tiny,3,hbds,2,8,13,502,Win
tiny,3,hbds,3,10,13,500,Win
tiny,3,hbds,4,16,27,494,Win
tiny,3,hbds,5,7,11,503,Win
tiny,3,hbds,6,3,6,507,Win
tiny,3,hbds,7,5,9,505,Win
tiny,3,hbds,8,13,17,497,Win
tiny,3,hbds,9,6,9,504,Win
tiny,4,dfs,0,6,18,504,Win
tiny,4,dfs,1,9,13,501,Win
tiny,4,dfs,2,9,28,501,Win
tiny,4,dfs,3,14,20,496,Win
tiny,4,dfs,4,6,18,504,Win
tiny,4,dfs,5,4,19,506,Win
tiny,4,dfs,6,4,4,506,Win
tiny,4,dfs,7,7,28,503,Win
tiny,4,dfs,8,11,11,499,Win
tiny,4,dfs,9,5,15,505,Win
tiny,4,bfs,0,2,9,508,Win
tiny,4,bfs,1,7,16,503,Win
tiny,4,bfs,2,5,7,505,Win
tiny,4,bfs,3,12,22,498,Win
tiny,4,bfs,4,2,9,508,Win
tiny,4,bfs,5,4,11,506,Win
tiny,4,bfs,6,4,16,506,Win
tiny,4,bfs,7,7,25,503,Win
tiny,4,bfs,8,11,25,499,Win
tiny,4,bfs,9,5,16,505,Win
tiny,4,ucs,0,2,9,508,Win
tiny,4,ucs,1,7,16,503,Win
tiny,4,ucs,2,5,7,505,Win
tiny,4,ucs,3,12,22,498,Win
tiny,4,ucs,4,2,9,508,Win
tiny,4,ucs,5,4,11,506,Win
tiny,4,ucs,6,4,16,506,Win
tiny,4,ucs,7,7,25,503,Win
tiny,4,ucs,8,11,25,499,Win
tiny,4,ucs,9,5,16,505,Win
tiny,4,astar,0,2,2,508,Win
tiny,4,astar,1,7,11,503,Win
tiny,4,astar,2,5,5,505,Win
tiny,4,astar,3,12,17,498,Win
tiny,4,astar,4,2,2,508,Win
tiny,4,astar,5,4,6,506,Win
tiny,4,astar,6,4,5,506,Win
tiny,4,astar,7,7,9,503,Win
tiny,4,astar,8,11,15,499,Win
tiny,4,astar,9,5,7,505,Win
tiny,4,bds,0,2,5,508,Win
tiny,4,bds,1,7,14,503,Win
tiny,4,bds,2,5,6,505,Win
tiny,4,bds,3,12,22,498,Win
tiny,4,bds,4,2,5,508,Win
tiny,4,bds,5,4,8,506,Win
tiny,4,bds,6,4,7,506,Win
tiny,4,bds,7,7,13,503,Win
tiny,4,bds,8,11,24,499,Win
tiny,4,bds,9,5,11,505,Win
tiny,4,hbds,0,2,2,508,Win
tiny,4,hbds,1,7,9,503,Win
tiny,4,hbds,2,5,6,505,Win
tiny,4,hbds,3,12,15,498,Win
tiny,4,hbds,4,2,2,508,Win
tiny,4,hbds,5,4,12,506,Win
tiny,4,hbds,6,4,4,506,Win
tiny,4,hbds,7,7,9,503,Win
tiny,4,hbds,8,11,18,499,Win
tiny,4,hbds,9,5,8,505,Win
tiny,5,dfs,0,7,26,503,Win
tiny,5,dfs,1,2,2,508,Win
tiny,5,dfs,2,13,18,497,Win
tiny,5,dfs,3,6,19,504,Win
tiny,5,dfs,4,9,23,501,Win
tiny,5,dfs,5,11,26,499,Win
