layoutSize,algorithm,t-value,p-value
tiny,dfs,6.99738268826147,3.13452586240989e-10
tiny,bfs,11.995295706256995,5.250811379425931e-21
tiny,ucs,11.995295706256995,5.250811379425931e-21
tiny,astar,-2.0895580127775664,0.039221160873956565
tiny,bds,7.9662693375885825,2.83449478873143e-12
small,dfs,3.7744147142967663,0.0002734977321566089
small,bfs,5.466570067810823,3.4383677582142697e-07
small,ucs,5.466570067810823,3.4383677582142697e-07
small,astar,-4.427390966899264,2.4592752145136312e-05
small,bds,1.3778858062831703,0.17134513606946947
medium,dfs,7.480110533538766,3.0625521106792805e-11
medium,bfs,10.667796381994565,3.840879186784031e-18
medium,ucs,10.667796381994565,3.840879186784031e-18
medium,astar,-2.2936009287091674,0.023927358259162194
medium,bds,6.081481744202372,2.2446316398171146e-08
big,dfs,8.865822056627756,3.243010538330385e-14
big,bfs,9.683133135228127,5.37470765520713e-16
big,ucs,9.683133135228127,5.37470765520713e-16
big,astar,-1.8122567890896135,0.07297774117884664
big,bds,4.447758467497794,2.272827761518935e-05
