layout,algorithm,iteration,cost,expanded nodes,score,result
tinyMaze,bfs,27,1,2,509,Win
tinyMaze,bfs,28,5,10,505,Win
tinyMaze,bfs,29,2,3,508,Win
tinyMaze,bfs,30,1,2,509,Win
tinyMaze,bfs,31,7,14,503,Win
tinyMaze,bfs,32,2,3,508,Win
tinyMaze,bfs,33,6,12,504,Win
tinyMaze,bfs,34,2,4,508,Win
tinyMaze,bfs,35,4,9,506,Win
tinyMaze,bfs,36,3,5,507,Win
tinyMaze,bfs,37,3,6,507,Win
tinyMaze,bfs,38,2,4,508,Win
tinyMaze,bfs,39,4,8,506,Win
tinyMaze,bfs,40,8,15,502,Win
tinyMaze,bfs,41,4,8,506,Win
tinyMaze,bfs,42,6,13,504,Win
tinyMaze,bfs,43,3,6,507,Win
tinyMaze,bfs,44,1,2,509,Win
tinyMaze,bfs,45,1,1,509,Win
tinyMaze,bfs,46,7,15,503,Win
tinyMaze,bfs,47,4,7,506,Win
tinyMaze,bfs,48,3,6,507,Win
tinyMaze,bfs,49,5,12,505,Win
tinyMaze,bfs,50,5,9,505,Win
tinyMaze,bfs,51,5,11,505,Win
tinyMaze,bfs,52,7,15,503,Win
tinyMaze,bfs,53,2,4,508,Win
tinyMaze,bfs,54,2,4,508,Win
tinyMaze,bfs,55,3,5,507,Win
tinyMaze,bfs,56,4,8,506,Win
tinyMaze,bfs,57,4,8,506,Win
tinyMaze,bfs,58,3,6,507,Win
tinyMaze,bfs,59,3,6,507,Win
tinyMaze,bfs,60,7,13,503,Win
tinyMaze,bfs,61,5,10,505,Win
tinyMaze,bfs,62,4,9,506,Win
tinyMaze,bfs,63,6,13,504,Win
tinyMaze,bfs,64,5,8,505,Win
tinyMaze,bfs,65,6,14,504,Win
tinyMaze,bfs,66,5,10,505,Win
tinyMaze,bfs,67,5,10,505,Win
tinyMaze,bfs,68,6,14,504,Win
tinyMaze,bfs,69,5,10,505,Win
tinyMaze,bfs,70,5,12,505,Win
tinyMaze,bfs,71,3,5,507,Win
tinyMaze,bfs,72,6,12,504,Win
tinyMaze,bfs,73,1,2,509,Win
tinyMaze,bfs,74,5,9,505,Win
tinyMaze,bfs,75,7,15,503,Win
tinyMaze,bfs,76,3,5,507,Win
tinyMaze,bfs,77,3,8,507,Win
tinyMaze,bfs,78,3,7,507,Win
tinyMaze,bfs,79,7,15,503,Win
tinyMaze,bfs,80,2,3,508,Win
tinyMaze,bfs,81,4,8,506,Win
tinyMaze,bfs,82,4,6,506,Win
tinyMaze,bfs,83,1,2,509,Win
tinyMaze,bfs,84,1,2,509,Win
tinyMaze,bfs,85,5,10,505,Win
tinyMaze,bfs,86,1,2,509,Win
tinyMaze,bfs,87,4,5,506,Win
tinyMaze,bfs,88,3,6,507,Win
tinyMaze,bfs,89,6,13,504,Win
tinyMaze,bfs,90,3,5,507,Win
tinyMaze,bfs,91,1,1,509,Win
tinyMaze,bfs,92,5,11,505,Win
tinyMaze,bfs,93,6,12,504,Win
tinyMaze,bfs,94,5,10,505,Win
tinyMaze,bfs,95,5,11,505,Win
tinyMaze,bfs,96,2,3,508,Win
tinyMaze,bfs,97,1,1,509,Win
tinyMaze,bfs,98,4,8,506,Win
tinyMaze,bfs,99,7,15,503,Win
tinyMaze,bfs,100,3,6,507,Win
tinyMaze,ucs,1,7,15,503,Win
tinyMaze,ucs,2,2,4,508,Win
tinyMaze,ucs,3,4,10,506,Win
tinyMaze,ucs,4,1,1,509,Win
tinyMaze,ucs,5,1,1,509,Win
tinyMaze,ucs,6,6,14,504,Win
tinyMaze,ucs,7,1,1,509,Win
tinyMaze,ucs,8,7,15,503,Win
tinyMaze,ucs,9,2,4,508,Win
tinyMaze,ucs,10,5,10,505,Win
tinyMaze,ucs,11,5,11,505,Win
tinyMaze,ucs,12,4,8,506,Win
tinyMaze,ucs,13,5,10,505,Win
tinyMaze,ucs,14,7,15,503,Win
tinyMaze,ucs,15,7,13,503,Win
tinyMaze,ucs,16,6,11,504,Win
tinyMaze,ucs,17,2,3,508,Win
tinyMaze,ucs,18,2,4,508,Win
tinyMaze,ucs,19,1,1,509,Win
tinyMaze,ucs,20,4,7,506,Win
tinyMaze,ucs,21,1,2,509,Win
tinyMaze,ucs,22,5,9,505,Win
tinyMaze,ucs,23,2,3,508,Win
tinyMaze,ucs,24,1,1,509,Win
tinyMaze,ucs,25,3,5,507,Win
tinyMaze,ucs,26,6,13,504,Win
tinyMaze,ucs,27,1,2,509,Win
tinyMaze,ucs,28,5,10,505,Win
tinyMaze,ucs,29,2,3,508,Win
tinyMaze,ucs,30,1,2,509,Win
tinyMaze,ucs,31,7,14,503,Win
tinyMaze,ucs,32,2,3,508,Win
tinyMaze,ucs,33,6,12,504,Win
tinyMaze,ucs,34,2,4,508,Win
tinyMaze,ucs,35,4,9,506,Win
tinyMaze,ucs,36,3,5,507,Win
tinyMaze,ucs,37,3,6,507,Win
tinyMaze,ucs,38,2,4,508,Win
tinyMaze,ucs,39,4,8,506,Win
tinyMaze,ucs,40,8,15,502,Win
tinyMaze,ucs,41,4,8,506,Win
tinyMaze,ucs,42,6,13,504,Win
tinyMaze,ucs,43,3,6,507,Win
tinyMaze,ucs,44,1,2,509,Win
tinyMaze,ucs,45,1,1,509,Win
tinyMaze,ucs,46,7,15,503,Win
tinyMaze,ucs,47,4,7,506,Win
tinyMaze,ucs,48,3,6,507,Win
tinyMaze,ucs,49,5,12,505,Win
tinyMaze,ucs,50,5,9,505,Win
tinyMaze,ucs,51,5,11,505,Win
tinyMaze,ucs,52,7,15,503,Win
tinyMaze,ucs,53,2,4,508,Win
tinyMaze,ucs,54,2,4,508,Win
tinyMaze,ucs,55,3,5,507,Win
tinyMaze,ucs,56,4,8,506,Win
tinyMaze,ucs,57,4,8,506,Win
tinyMaze,ucs,58,3,6,507,Win
tinyMaze,ucs,59,3,6,507,Win
tinyMaze,ucs,60,7,13,503,Win
tinyMaze,ucs,61,5,10,505,Win
tinyMaze,ucs,62,4,9,506,Win
